Location,Latitude,Longitude
"2024-06-15 Crash 1D
",1.2972829,103.8489054
"2024-06-14 Crash
",1.3205406,103.8809979
"2024-06-13 Crash 
",1.3554671,103.7209764
"2024-06-12 Crash
",1.3492499,103.8372358
"2024-06-11 Crash
",1.3219881,103.6702774
"2024-06-11 Crash 1P
",1.2933063,103.8558277
"2024-06-11 Crash 1PD
",1.4494627,103.800943
"2024-06-11 Crash 1D
",1.2726249,103.8408129
"2024-06-08 Crash
",1.3630637,103.8468761
"2024-06-08 Crash
",1.3818907,103.9177906
"2024-06-08 Crash
",1.4474687,103.8197614
"2024-06-07 Crash
",1.3409897,103.6444334
"2024-06-06 Crash
",1.3530358,103.8343539
"2024-06-06 Crash
",1.3034332,103.8540857
"2024-06-04 Crash 1D
",1.3938545,103.857779
"2024-06-02 Crash
",1.3218808,103.7709795
"2024-06-01 Crash 1D
",1.4126878,103.8342031
"2024-06-01 Crash (L?)
",1.3003603,103.9070098
"2024-05-30 Crash
",1.3639029,103.9647384
"2024-05-28 Crash
",1.3433847,103.6949649
"2024-05-28 Crash
",1.3243556,103.8513539
"2024-05-27 Crash 1D
",1.3581388,103.8682251
"2024-05-25 Crash (L?)
",1.3456852,103.6901802
"2024-05-25 Crash
",1.2555,103.8245417
"2024-05-22 Bump 1P
",1.4214922,103.8470624
"2024-05-22 Crash (L?)
",1.3354518,103.9320557
"2024-05-20 Bump 1P
",1.3778494,103.8364883
"2024-05-20 Crash
",1.4297005,103.7696706
"2024-05-20 Crash
",1.3746012,103.7775619
"2024-05-19 Crash
",1.3404624,103.8501572
"2024-05-14 Bump
",1.3520507,103.7453186
"2024-05-12 Bump
",1.327849,103.8800877
"2024-05-06 Crash 
",1.3535771,103.696475
"2024-05-04 Crash
",1.2664582,103.8183667
"2024-04-28 Crash 1D
",1.3309166,103.7412944
"2024-04-26 Bang 1P
",1.2864183,103.8283342
2024-04-25 Crash,1.3298728,103.9346439
"2024-04-25 Bump
",1.3481531,103.9297457
2024-04-24 Crash 1D,1.3525868,103.6958441
"2024-04-22 Crash 2D
",1.3447851,103.9383553
"2024-04-22 Crash
",1.3483122,103.7970769
"2024-04-18 Bump 
",1.300685,103.8558285
"2024-04-16 Crash 1P
",1.3465736,103.7520043
"2024-04-12 Crash 1D
",1.3064961,103.767741
"2024-04-12 Crash
",1.372762,103.9334293
"2024-04-11 Crash
",1.3494688,103.7086237
"2024-04-09 Crash
",1.3935513,103.9011509
"2024-04-08 Crash
",1.341483,103.9154908
"2024-04-03 Bump (L?)
",1.3399295,103.9608508
"2024-04-02 Crash 
",1.3780975,103.7763942
"2024-04-01 Crash 2P
",1.2993822,103.7855568
"2024-04-01 Crash
",1.4299721,103.8297652
"2024-04-01 Bump
",1.2779915,103.8403386
"2024-03-30 Crash
",1.3105783,103.8821667
"2024-03-28 Crash 
",1.3497393,103.7395651
"2024-03-26 Crash
",1.3439207,103.8663051
"2024-03-25 Crash 1D
",1.3391237,103.6468267
"2024-03-23 Crash 2P
",1.3146122,103.8799495
"2024-03-23 Crash
",1.426281,103.7981675
"2024-03-21 Bump
",1.3432779,103.8523161
"2024-03-20 Bump 2P
",1.3198029,103.8617717
"2024-03-20 Crash
",1.3189816,103.760323
"2023-03-16 Crash
",1.3862431,103.7718988
"2024-03-15 Crash 
",1.4321203,103.787673
"2024-03-13 Crash
",1.2843683,103.8433555
"2024-03-10 Crash
",1.3610795,103.8586097
"2024-03-10 Bump 1P
",1.3976273,103.9037185
"2024-03-09 Crash
",1.3780814,103.7561661
"2024-03-09 Crash
",1.3536106,103.967434
"2024-03-08 Crash 1D
",1.3226445,103.6803814
"2024-03-07 Crash
",1.385109,103.7463254
"2024-03-06 Crash
",1.3320748,103.7941297
"2024-03-06 Crash 1D
",1.3488741,103.7702777
"2024-03-03 Crash 1D
",1.3862409,103.7461888
"2024-03-02 Crash
",1.3266312,103.8281507
"2024-02-22 Bangs 1P
",1.3704305,103.8639055
"2024-02-21 Crash 1D
",1.4259261,103.787822
2024-02-21 Crash ,1.3038185,103.9191014
"2024-02-18 Crash
",1.3313401,103.8790614
"2024-02-15 Crash
",1.3264711,103.9728826
"2024-02-15 Bump 
",1.2822193,103.8597597
"2024-02-14 Crash
",1.3054653,103.910038
"2024-02-08 Crash 1D
",1.4097609,103.8608115
"2024-02-06 Crash 1D
",1.3795998,103.7759479
"2024-02-02 Crash 1D
",1.4033241,103.8275
"2024-01-30 Crash 1PD
",1.3290265,103.724688
2024-01-29 Crash 1D,1.3879615,103.740823
"2024-01-27 Crash
",1.4306542,103.787464
"2024-01-24 Crash 1D
",1.306477,103.6257547
"2024-01-24 Crash
",1.3226774,103.8548933
"2024-01-23 Crash 1PD
",1.2955936,103.840104
"2024-01-22 Crash (L?)
",1.2791345,103.8203843
"2024-01-22 Crash (L?)
",1.3554364,103.7213952
"2024-01-21 Crash
",1.3144821,103.8047464
"2024-01-19 Crash (L?)
",1.4283724,103.7563531
"2022-01-17 Crash 1D
",1.3661331,103.8370037
"2024-01-17 Crash
",1.3296015,103.8502835
"2024-01-11 Crash 1D
",1.3295432,103.8416337
"2022-01-08 Crash
",1.3185482,103.7634615
"2024-01-08 Crash
",1.374427,103.9632433
"2024-01-06 Crash
",1.3235775,103.8732512
"2024-01-06 Crash 1D
",1.211737,103.8255994
"2024-01-02 Crash 
",1.3304513,103.8620162
