DataSeries,2025Feb,2025Jan,2024Dec,2024Nov,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan,2011Dec,2011Nov,2011Oct,2011Sep,2011Aug,2011Jul,2011Jun,2011May,2011Apr,2011Mar,2011Feb,2011Jan,2010Dec,2010Nov,2010Oct,2010Sep,2010Aug,2010Jul,2010Jun,2010May,2010Apr,2010Mar,2010Feb,2010Jan,2009Dec,2009Nov,2009Oct,2009Sep,2009Aug,2009Jul,2009Jun,2009May,2009Apr,2009Mar,2009Feb,2009Jan
Total Casualties Fatalities,9,12,16,15,10,10,8,11,13,7,11,12,11,18,13,11,12,7,11,11,13,10,11,11,16,10,12,3,14,15,9,10,6,5,13,11,6,4,12,10,6,6,6,9,7,12,6,14,12,7,4,6,5,4,10,3,7,2,11,11,9,11,12,15,9,10,4,9,11,6,12,13,9,8,14,8,13,9,9,11,11,9,12,6,12,10,9,15,3,11,16,7,9,13,10,9,11,8,13,11,15,8,12,16,11,11,13,10,8,13,11,14,14,12,12,12,16,7,15,12,14,12,10,7,11,17,9,12,11,20,13,12,18,15,12,16,9,7,13,11,17,13,10,14,19,19,19,14,15,11,15,9,10,11,15,15,17,17,12,12,19,15,19,19,16,15,16,17,15,20,14,14,13,14,20,16,17,18,19,23,7,18,24,16,13,18,14,16,10,22,14,11,12,13
    Pedestrians,1,4,2,2,1,1,2,3,2,2,2,2,2,4,2,0,5,1,5,1,10,1,5,4,2,3,6,0,5,6,3,2,3,2,1,2,2,1,2,3,2,2,4,0,1,1,0,5,2,1,1,3,3,2,0,0,0,0,2,1,2,4,4,4,3,3,3,1,4,2,5,3,3,4,3,6,1,4,0,5,3,3,5,2,4,3,4,6,1,4,7,0,0,4,6,2,4,3,5,3,6,3,0,4,6,4,4,6,4,2,3,5,3,4,3,4,5,1,5,3,2,5,3,5,6,5,3,4,4,5,2,3,3,2,6,7,2,1,6,1,4,1,2,3,5,5,3,4,7,3,3,1,5,0,6,6,2,4,3,5,3,5,7,3,4,2,2,5,5,5,4,3,3,3,4,5,3,4,9,9,3,5,7,4,3,4,3,4,5,2,3,3,3,4
    Personal Mobility Device Users,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Cyclists & Pillions,3,2,2,0,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,2,1,1,2,0,2,2,2,1,0,1,1,0,1,1,1,3,0,0,2,0,0,0,0,0,1,5,1,2,0,0,0,0,1,0,1,0,2,0,0,1,1,1,0,4,1,0,1,0,0,0,1,0,0,1,2,0,1,0,1,0,1,1,1,1,1,0,0,2,2,1,1,1,3,2,0,0,2,1,0,2,5,1,5,3,1,1,0,0,0,2,2,1,1,2,0,1,2,1,1,1,3,2,0,0,0,1,1,2,2,2,2,2,2,1,2,3,0,0,0,1,1,4,0,0,1,3,1,1,0,0,2,1,0,3,1,2,1,4,0,1,1,3,2,0,0,1,1,2,2,2,1,1,1,1,3,1,1,3,0,2,0,2,2,1,1,3,1,2,1,2,3,1,0,0
    Motor Cyclists & Pillion Riders,4,6,9,10,7,5,4,6,9,4,5,8,7,11,6,9,6,6,3,6,1,7,3,6,11,4,3,1,6,3,3,6,2,2,9,5,4,3,6,3,3,1,2,9,5,6,2,5,3,5,3,3,1,2,7,2,4,2,8,5,6,6,7,6,4,7,0,8,6,4,5,10,4,3,8,2,7,5,5,6,7,4,2,3,5,7,3,4,0,5,4,4,4,4,2,6,4,4,7,5,3,2,6,8,3,5,9,4,3,7,4,6,7,6,7,6,7,3,7,8,8,3,6,2,4,8,3,4,5,11,7,4,11,9,4,5,5,6,7,4,10,8,4,5,10,5,11,6,7,5,8,5,2,2,6,5,11,8,6,4,9,6,9,12,9,8,9,9,7,11,4,6,6,7,11,6,10,7,9,9,4,10,12,9,7,9,10,8,4,8,4,6,8,7
    Motor Cars And Station Wagons,1,0,2,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,7,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,3,0,1,0,2,0,0,1,1,2,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,2,2,0,0,2,0,2,1,2,0,0,2,0,0,2,1,0,2,3,2,4,3,1,0,0,1,1,1,5,2,0,0,0,2,0,3,0,0,1,3,4,2,0,0,0,2,2,3,2,1,2,0,2,0,0,0,0,2,1,1,1,0,1,0,4,1,0,1,0
    Goods Vans & Pick-Ups,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0
        Goods Vans,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0
        Pick-Ups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    Lorries, Tipper Trucks & Trailers",0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,2,1,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,2,3,1,1,1,1,1,0,1,1,2,1,0,1,1,1,1,2,2,1,0,3,0,0,2,1,1,2,1,1,0,0,0,0,3,1,1,2,0,0,0,0,1,1,0,0,0,4,0,0,0,2
