Latitude,Longitude,Date,Rainfall_mm,Traffic_Volume,Total Casualties Fatalities,    Pedestrians,    Personal Mobility Device Users,    Cyclists & Pillions,    Motor Cyclists & Pillion Riders,    Motor Cars And Station Wagons,    Goods Vans & Pick-Ups,        Goods Vans,        Pick-Ups,"    Lorries, Tipper Trucks & Trailers",        Lorries,        Tipper Trucks,        Trailers,    Buses,    Others,Total Casualties Injured,    Pedestrians,    Personal Mobility Device Users,    Cyclists & Pillions,    Motor Cyclists & Pillion Riders,    Motor Cars And Station Wagons,    Goods Vans & Pick-Ups,        Goods Vans,        Pick-Ups,"    Lorries, Tipper Trucks & Trailers",        Lorries,        Tipper Trucks,        Trailers,    Buses,    Others,Total Casualties Fatalities_casualty,    Pedestrians_casualty,    Personal Mobility Device Users_casualty,    Cyclists & Pillions_casualty,    Motor Cyclists & Pillion Riders_casualty,    Motor Cars And Station Wagons_casualty,    Goods Vans & Pick-Ups_casualty,        Goods Vans_casualty,        Pick-Ups_casualty,"    Lorries, Tipper Trucks & Trailers_casualty",        Lorries_casualty,        Tipper Trucks_casualty,        Trailers_casualty,    Buses_casualty,    Others_casualty,Total Casualties Injured_casualty,    Pedestrians_casualty,    Personal Mobility Device Users_casualty,    Cyclists & Pillions_casualty,    Motor Cyclists & Pillion Riders_casualty,    Motor Cars And Station Wagons_casualty,    Goods Vans & Pick-Ups_casualty,        Goods Vans_casualty,        Pick-Ups_casualty,"    Lorries, Tipper Trucks & Trailers_casualty",        Lorries_casualty,        Tipper Trucks_casualty,        Trailers_casualty,    Buses_casualty,    Others_casualty,
1.2972829,103.8489054,15/6/2024,0,3942,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3205406,103.8809979,14/6/2024,0,4733,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3554671,103.7209764,13/6/2024,0,3575,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3492499,103.8372358,12/6/2024,0,1556,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3219881,103.6702774,11/6/2024,0,1968,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.2933063,103.8558277,11/6/2024,0,902,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.4494627,103.800943,11/6/2024,0,4628,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.2726249,103.8408129,11/6/2024,0,4887,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3630637,103.8468761,8/6/2024,0,1197,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3818907,103.9177906,8/6/2024,0,3602,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.4474687,103.8197614,8/6/2024,0,5386,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3409897,103.6444334,7/6/2024,0,945,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3530358,103.8343539,6/6/2024,0,1851,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3034332,103.8540857,6/6/2024,0,948,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3938545,103.857779,4/6/2024,0,1979,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
1.3218808,103.7709795,2/6/2024,0,1071,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,13,2,0,1,9,1,0,0,0,0,0,0,0,0,0,740,61,5,30,357,185,20,20,0,36,36,0,0,43,3,
