osmid,rainfall_mm,avg_volume
"[49961799, 718881456, 741164883, 754786742, 173767676]",0.0,0.0
"[46337834, 140562819, 244833526, 738993583]",0.0,0.0
627326844,0.0,0.0
150829205,0.0,0.0
"[633215386, 74607482, 635109319]",0.0,0.0
"[634682596, 173767677]",0.0,0.0
"[481674707, 654734557, 633179143]",0.0,0.0
"[643413273, 559564482, 640203517, 640203518]",0.0,0.0
"[481674706, 726119822, 638099470]",0.0,0.0
"[786458587, 635586990]",0.0,0.0
"[21673088, 786466932]",0.0,0.0
"[633613299, 786458588, 633613303]",0.0,0.0
74776949,0.0,0.0
120106012,0.0,0.0
"[480488529, 639872238]",0.0,0.0
"[745701824, 745701826, 474529406, 21673085, 481678430, 481678431]",0.0,0.0
173767774,0.0,0.0
"[474301011, 173767643, 633236395, 630387759]",0.0,0.0
34878741,0.0,0.0
481673127,0.0,0.0
"[633219856, 474300974]",0.0,0.0
"[635500608, 635500609, 706264584, 474288904, 635500607]",0.0,0.0
"[627703714, 826127074, 41663780, 178929252, 711955529, 711058122, 474288905, 652572848, 777928766]",0.0,0.0
"[654765481, 481678154, 727478650, 481678159, 633219855, 661348859, 727478649, 661348858, 655888571]",0.0,0.0
396336421,0.0,0.0
"[636702363, 831606644, 745746163]",0.0,0.0
"[396336420, 667722344, 1108475540, 745746164, 480488538]",0.0,0.0
21809808,0.0,0.0
396336423,0.0,0.0
"[21673088, 669865828]",0.0,0.0
"[33280680, 786458589]",0.0,0.0
74628574,0.0,0.0
"[396336410, 787073524]",0.0,0.0
"[647750761, 735356846, 787073525, 396336407, 649115961, 781957755, 22567455]",0.0,0.0
"[396336417, 637846110]",0.0,0.0
633243688,0.0,0.0
"[200159305, 654742708]",0.0,0.0
"[745356251, 823373263]",0.0,0.0
46705560,0.0,0.0
74864002,0.0,0.0
"[654443170, 481889869, 637374448, 847852316, 654443167]",0.0,0.0
747280760,0.0,0.0
"[666600898, 666600901, 665722900, 665722901, 665722902, 22919804]",0.0,0.0
21998983,0.0,0.0
"[49961800, 718881458, 74722812]",0.0,0.0
"[121906574, 21787118]",0.0,0.0
"[763521360, 39961203, 122067627, 122067630]",0.0,0.0
74731121,0.0,0.0
"[395443688, 395443690, 750875316, 750875317, 21701084]",0.0,0.0
"[463526658, 49889563, 797338540]",0.0,0.0
"[162783049, 477918915, 477918916]",0.0,0.0
"[479542560, 632230304, 49961701, 721660935, 479542735, 479542736]",0.0,0.0
635147471,0.0,0.0
173166889,0.0,0.0
"[481882693, 637381897, 74928377, 654397500, 654397501, 654397502]",0.0,0.0
633279967,0.0,0.0
"[597548013, 46703781]",0.0,0.0
173767771,0.0,0.0
766128351,0.0,0.0
"[665481184, 459186758, 665481183]",0.0,0.0
"[545574465, 665480002, 665480003]",0.0,0.0
829060936,0.0,0.0
480684173,0.0,0.0
632148246,0.0,0.0
"[46650501, 646313678, 633339730, 682587580, 727505660]",0.0,0.0
"[727486176, 46650500, 727487421, 49961720, 727487419, 727487420, 727486173, 727486174, 727486175]",0.0,0.0
"[727505664, 727505665, 727505666, 727505667, 184389543, 1019939320, 727505661, 727505662, 727505663]",0.0,0.0
"[465059833, 751813850]",0.0,0.0
"[634155138, 766120020]",0.0,0.0
"[634155137, 665507898, 692636298, 692636299, 665507892, 780398517, 667356373, 665507895, 665507929, 465059834, 765882779, 22922238]",0.0,0.0
"[635505965, 1168584759, 1168584760, 546153529, 22674908]",0.0,0.0
"[633369736, 74735246]",0.0,0.0
"[633335608, 747311785, 747311784]",0.0,0.0
459186768,0.0,0.0
477930085,0.0,0.0
637031015,0.0,0.0
"[46671395, 651053563]",0.0,0.0
"[481882968, 782902497]",0.0,0.0
176204472,0.0,0.0
"[176204512, 632200981, 636759446, 654403703]",0.0,0.0
"[477920706, 636758379, 636759012, 636758381]",0.0,0.0
459186758,0.0,0.0
"[22919808, 751804393]",0.0,0.0
448937533,0.0,0.0
635161282,0.0,0.0
447712968,0.0,0.0
477904602,0.0,0.0
632200982,0.0,0.0
"[49961721, 522800044]",0.0,0.0
536908863,0.0,0.0
22674911,0.0,0.0
173713414,0.0,0.0
536908860,0.0,0.0
651078308,0.0,0.0
465055379,0.0,0.0
448937531,0.0,0.0
"[633328387, 665507919, 665507921, 665507924, 665507926, 633342398]",0.0,0.0
"[633345488, 665507912, 665507916]",0.0,0.0
"[786490610, 786490611, 665507900, 49890815]",0.0,0.0
"[751804395, 751804396, 751804397]",0.0,0.0
481615565,0.0,0.0
633369730,0.0,0.0
"[747369960, 633391495, 22921316, 747369959]",0.0,0.0
21943945,0.0,0.0
173713426,0.0,0.0
"[844941345, 480936965, 480936967, 725463912, 75092684, 633200462, 633205392, 633205393, 633205396, 725436634]",0.0,0.0
"[480927680, 725436635]",0.0,0.0
539598755,0.0,0.0
"[1167891737, 539598757]",0.0,0.0
"[633195232, 1167891736, 725436636]",0.0,0.0
22382277,0.0,0.0
"[746628772, 746628773, 746628774, 829182732, 480930010, 480927679]",0.0,0.0
480927678,0.01,0.0
173713419,0.0,0.0
173713418,0.0,0.0
"[828362671, 480922578, 480922580, 725436637, 725436638]",0.0,0.0
173713420,0.0,0.0
"[480927674, 632799114, 8096835]",0.0,0.0
480533132,0.0,0.0
22932588,0.0,0.0
828702327,0.0,0.0
174281636,0.0,0.0
174281635,0.0,0.0
"[728162817, 696668765]",0.0,0.0
"[167803328, 480927673, 167803329]",0.0,0.0
"[633422288, 651024850, 828362980, 651024847]",0.0,0.0
"[22932584, 167688566, 167688567]",0.0,0.0
"[665733280, 745190354, 745190355, 74715093, 643212312]",0.0,0.0
"[173791989, 481061437]",0.0,0.0
45418008,0.0,0.0
313510736,0.0,0.0
"[633809832, 762773339, 640209307, 633809831]",0.0,0.0
9585045,0.0,0.0
"[167803330, 174281634, 22567435]",0.0,0.0
480533137,0.0,0.0
"[725436640, 652179853, 479116238, 652179854, 479116239, 479116244, 669870942]",0.0,0.0
480657519,0.0,0.0
725436639,0.0,0.0
"[9585074, 747036258, 632763479]",0.0,0.0
74928397,0.0,0.0
594262556,0.0,0.0
9585621,0.0,0.0
594262554,0.0,0.0
481676025,0.0,0.0
22896520,0.0,0.0
"[21940424, 764061417, 764061418, 644896086]",0.0,0.0
"[630418176, 726848034, 74729029]",0.0,0.0
"[482032036, 241113062, 640276009, 825797684, 676958936, 670631291, 670631292]",0.0,0.0
"[633213594, 661314724, 481672085, 482019767]",0.0,0.0
75113643,0.0,0.0
"[747084883, 158191981]",0.0,0.0
172518479,0.0,0.0
633179716,0.0,0.0
184650708,0.0,0.0
"[754145076, 635470445, 75113111]",0.0,0.0
"[9585771, 651057196]",0.0,0.0
21940418,0.0,0.0
"[727564512, 727564513, 539598537, 639300696, 480740156]",0.0,0.0
480957623,0.0,0.0
651057197,0.0,0.0
638285872,0.0,0.0
74928386,0.0,0.0
"[727564514, 639243981]",0.0,0.0
480934381,0.0,0.0
"[630419585, 480934466, 480743245, 649932678]",0.0,0.0
536908890,0.0,0.0
"[640183992, 480536077, 652170653]",0.0,0.0
"[760451204, 639932486, 480468902, 711796715, 172750680, 639933822]",0.0,0.0
536908892,0.0,0.0
536908879,0.0,0.0
"[639550790, 639550161, 536908884, 724885271, 759507935]",0.0,0.0
724885273,0.0,0.0
665776853,0.0,0.0
665776858,0.0,0.0
"[633265315, 48178716, 650070967]",0.0,0.0
445282943,0.0,0.0
"[9588130, 666005571, 666005572]",0.0,0.0
"[745352144, 38533986, 750051158]",0.0,0.0
"[38533985, 745352145, 745352143]",0.0,0.0
"[634175010, 1044691044, 646965007, 665776856, 665776859, 751470815]",0.0,0.0
646965008,0.0,0.0
"[666005220, 666005219, 643771780, 666005221]",0.0,0.0
"[652315969, 541102866, 652315959, 652315962, 652315965]",0.0,0.0
"[632495826, 633265317]",0.0,0.0
478336694,0.0,0.0
"[649064829, 32944390]",0.0,0.0
"[479564544, 38533987, 651086149, 480918952, 9589704]",0.0,0.0
539591211,0.0,0.0
"[842732512, 842732513, 656782400, 480918947, 480918946, 655222893, 655222894, 630395823, 265150743, 763533912]",0.0,0.0
38533988,0.0,0.0
778743371,0.0,0.0
541174862,0.0,0.0
"[764068788, 536908876]",0.0,0.0
174262766,0.0,0.0
"[633812200, 479616017, 75538367]",0.0,0.0
21567397,0.0,0.0
"[651186800, 535030450, 536908875, 479615877]",0.0,0.0
654860384,0.0,0.0
9590308,0.0,0.0
"[480876258, 654860383]",0.0,0.0
534985185,0.0,0.0
534985185,0.0,0.0
"[654860384, 654860381, 654860382]",0.0,0.0
"[484857200, 751470811]",0.0,0.0
"[480257499, 167632063]",0.0,0.0
"[121882984, 167632067, 45070974]",0.0,0.0
75536128,0.0,0.0
173767834,0.0,0.0
"[173767818, 782299956, 782299957]",0.0,0.0
173767817,0.0,0.0
"[656741947, 834598251]",0.0,0.0
576783718,0.0,0.0
583453842,0.0,0.0
22029908,0.0,0.0
538223064,0.0,0.0
174552492,0.0,0.0
"[654860379, 174552502, 535030447]",0.0,0.0
75392764,0.0,0.0
"[654757120, 75392766, 779736199]",0.0,0.0
173779728,0.0,0.0
75392772,0.0,0.0
"[638058240, 633432885, 787035245]",0.0,0.0
"[787035859, 787035244, 667208263, 45249372]",0.0,0.0
"[45248324, 634148205, 787035246, 787035247, 45248304, 445282902]",0.0,0.0
"[34122802, 778783525, 673553199]",0.0,0.0
"[479174082, 479174083, 74628616, 479757261, 159689650, 159689654]",0.0,0.0
"[479172226, 479172227, 479172229, 479172230, 723020071, 646834086, 694006766, 44957275, 649588987, 44957276]",0.0,0.0
"[22741875, 654876322, 636701746, 793780491]",0.0,0.0
"[793780490, 226209026]",0.0,0.0
"[635139089, 479543066, 793780489, 223868455]",0.0,0.0
"[480749315, 480749316, 480749319, 480749320, 480749005, 480749006, 480866575, 480749009, 480749010]",0.0,0.0
"[480866573, 480749004, 22741877, 480866574]",0.0,0.0
"[226209024, 583973921, 480749002, 480748366, 480748371, 174552478]",0.0,0.0
121753596,0.0,0.0
"[173913056, 479166369, 479166368, 479166006, 479166007]",0.0,0.0
"[174552474, 479166484]",0.0,0.0
44628854,0.0,0.0
"[479303944, 173913052, 479303950]",0.0,0.0
"[75414322, 744958247]",0.0,0.0
"[744926558, 173913046]",0.0,0.0
173913071,0.0,0.0
"[479303937, 479303941, 173913055]",0.0,0.0
75007288,0.0,0.0
"[479167586, 479305351, 75044392, 479305353, 479167583]",0.0,0.0
"[75044394, 784422645, 784422646]",0.0,0.0
"[688723727, 688723728, 480866579, 767423669, 22741885]",0.0,0.0
"[480749008, 480866576, 631919609, 688723726]",0.0,0.0
"[649613505, 75007298, 480749317, 480749318, 725420903, 725420904, 480749321, 480749322, 725420902, 480749007, 480749011, 480749012]",0.0,0.0
"[75007297, 627318209, 965114830, 725909944, 725909945, 479170650]",0.0,0.0
"[701603699, 749728940]",0.0,0.0
"[480880473, 479168859, 479169590, 479169591]",0.0,0.0
"[45071009, 45071010, 44628876, 44628879, 480748368, 480748367, 15774741]",0.0,0.0
"[480748369, 174552473, 480748370]",0.0,0.0
"[479166724, 479166725, 528461161, 641238477, 479354382, 479166483, 630799897, 655555611, 230398588, 479166845, 174552479]",0.0,0.0
173913043,0.0,0.0
22945259,0.0,0.0
"[480748362, 480748363, 75392708]",0.0,0.0
633417627,0.0,0.0
"[176296640, 45070993, 45070995]",0.0,0.0
"[745290609, 23135315]",0.0,0.0
"[75392706, 45071006, 45070994]",0.0,0.0
"[480748364, 480748365, 649604721, 75392722, 649605370]",0.0,0.0
"[174552486, 121882983, 167648617, 16894445, 728162809, 728162810]",0.0,0.0
"[766813091, 121882989]",0.0,0.0
"[121882988, 480919516, 480919517, 22674815]",0.0,0.0
16679084,0.0,0.0
538836490,0.0,0.0
480691078,0.0,0.0
173767692,0.0,0.0
540865016,0.0,0.0
633149676,0.0,0.0
173954647,0.0,0.0
"[173954651, 651981455]",0.0,0.0
474187781,0.0,0.0
654849770,0.0,0.0
149654648,0.0,0.0
481676023,0.0,0.0
"[697949634, 728698454]",0.0,0.0
22982175,0.0,0.0
539598544,0.0,0.0
633179142,0.0,0.0
481674702,0.0,0.0
465041042,0.0,0.0
"[635477952, 766150668, 480691077]",0.0,0.0
539382322,0.0,0.0
16680024,0.0,0.0
632498625,0.0,0.0
"[535366465, 718260602, 535366466, 477931746]",0.0,0.0
74809489,0.0,0.0
